log_path,model,base_key,seed,init_seed,se,smape
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,Random Init,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,11,0.61165,0.51747
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,Language Pretrained,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,11,0.53666,0.41082
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,Random Init,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,11,0.45244,0.40855
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,Language Pretrained,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,11,0.53666,0.41811
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,Random Init,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,12,0.61165,0.5194
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,Random Init,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,12,0.45244,0.4121
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,Language Pretrained,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,11,0.53666,0.41996
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,Random Init,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,13,0.61165,0.51467
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,Random Init,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,13,0.45244,0.40757
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,Random Init,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,11,0.61165,0.51676
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,Random Init,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,11,0.45244,0.42104
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,Random Init,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,12,0.61165,0.51706
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,Random Init,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,12,0.45244,0.41
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,Random Init,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,13,0.61165,0.51875
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,Random Init,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,13,0.45244,0.42247
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,Random Init,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,11,0.61165,0.52115
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,Random Init,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,11,0.45244,0.41354
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,Random Init,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,12,0.61165,0.52292
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,Random Init,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,12,0.45244,0.41303
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,Random Init,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,13,0.61165,0.51724
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,Random Init,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,13,0.45244,0.41622
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,Language Pretrained,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,11,0.61165,0.5275
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,Language Pretrained,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,11,0.61165,0.52642
../results/pems_eval/pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,Language Pretrained,pems_testing_high_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,11,0.61165,0.52586
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_init11.txt,Language Pretrained,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,11,0.45244,0.41034
